strongs_number,original_word,testament,language,part_of_speech,english_meaning,telugu_meaning,occurrences
G3488,Νάρκισσος,New Testament,Greek,,Νάρκισσος,,
G3489,ναυαγέω,New Testament,Greek,,From G3491+G71,,
G3490,ναύκληρος,New Testament,Greek,,From G3491+G2819,,
G3491,ναῦς,New Testament,Greek,,ναῦς,,
G3492,ναύτης,New Testament,Greek,,From G3491,,
G3493,Ναχώρ,New Testament,Greek,,From H5152,,
G3494,νεανίας,New Testament,Greek,,From G3501,,
G3495,νεανίσκος,New Testament,Greek,,From G3494,,
G3496,Νεάπολις,New Testament,Greek,,From G3501+G4172,,
G3497,Νεεμάν,New Testament,Greek,,From H5283,,
G3498,νεκρός,New Testament,Greek,,νεκρός,,
G3499,νεκρόω,New Testament,Greek,,From G3498,,
G3500,νέκρωσις,New Testament,Greek,,From G3499,,
G3501,νέος,New Testament,Greek,,νέος,,
G3502,νεοσσός,New Testament,Greek,,From G3501,,
G3503,νεότης,New Testament,Greek,,From G3501,,
G3504,νεόφυτος,New Testament,Greek,,From G3501+G5453,,
G3505,Νέρων,New Testament,Greek,,Νέρων,,
G3506,νεύω,New Testament,Greek,,νεύω,,
G3507,νεφέλη,New Testament,Greek,,From G3509,,
G3508,Νεφθαλείμ,New Testament,Greek,,From H5321,,
G3509,νέφος,New Testament,Greek,,νέφος,,
G3510,νεφρός,New Testament,Greek,,νεφρός,,
G3511,νεωκόρος,New Testament,Greek,,From G3485,,
G3512,νεωτερικός,New Testament,Greek,,From G3501,,
G3513,νή,New Testament,Greek,,From G3483,,
G3514,νήθω,New Testament,Greek,,νήθω,,
G3515,νηπιάζω,New Testament,Greek,,From G3516,,
G3516,νήπιος,New Testament,Greek,,From G2031,,
G3517,Νηρεύς,New Testament,Greek,,From G3491,,
G3518,Νηρί,New Testament,Greek,,From H5374,,
G3519,νησίον,New Testament,Greek,,From G3520,,
G3520,νῆσος,New Testament,Greek,,From G3491,,
G3521,νηστεία,New Testament,Greek,,From G3522,,
G3522,νηστεύω,New Testament,Greek,,From G3523,,
G3523,νῆστις,New Testament,Greek,,From G2068,,
G3524,νηφάλιος,New Testament,Greek,,From G3525,,
G3525,νήφω,New Testament,Greek,,νήφω,,
G3526,Νίγερ,New Testament,Greek,,Νίγερ,,
G3527,Νικάνωρ,New Testament,Greek,,From G3528,,
G3528,νικάω,New Testament,Greek,,From G3529,,
G3529,νίκη,New Testament,Greek,,νίκη,,
G3530,Νικόδημος,New Testament,Greek,,From G3534+G1218,,
G3531,Νικολαΐτης,New Testament,Greek,,From G3532,,
G3532,Νικόλαος,New Testament,Greek,,From G3534+G2992,,
G3533,Νικόπολις,New Testament,Greek,,From G3534+G4172,,
G3534,νῖκος,New Testament,Greek,,From G3529,,
G3535,Νινευΐ,New Testament,Greek,,From H5210,,
G3536,Νινευΐτης,New Testament,Greek,,From G3535,,
G3537,νιπτήρ,New Testament,Greek,,From G3538,,
G3538,νίπτω,New Testament,Greek,,νίπτω,,
G3539,νοιέω,New Testament,Greek,,From G3563,,
G3540,νόημα,New Testament,Greek,,From G3539,,
G3541,νόθος,New Testament,Greek,,νόθος,,
G3542,νομή,New Testament,Greek,,From G3551,,
G3543,νομίζω,New Testament,Greek,,From G3551,,
G3544,νομικός,New Testament,Greek,,From G3551,,
G3545,νομίμως,New Testament,Greek,,From G3551,,
G3546,νόμισμα,New Testament,Greek,,From G3543,,
G3547,νομοδιδάσκαλος,New Testament,Greek,,From G3551+G1320,,
G3548,νομοθεσία,New Testament,Greek,,From G3550,,
G3549,νομοθετέω,New Testament,Greek,,From G3550,,
G3550,νομοθέτης,New Testament,Greek,,From G3551+G5087,,
G3551,νόμος,New Testament,Greek,,νόμος,చట్టం,
G3552,νοσέω,New Testament,Greek,,From G3554,,
G3553,νόσημα,New Testament,Greek,,From G3552,,
G3554,νόσος,New Testament,Greek,,νόσος,,
G3555,νοσσιά,New Testament,Greek,,From G3502,,
G3556,νοσσίον,New Testament,Greek,,From G3502,,
G3557,νοσφίζομαι,New Testament,Greek,,νοσφίζομαι,,
G3558,νότος,New Testament,Greek,,νότος,,
G3559,νουθεσία,New Testament,Greek,,From G3563+G5087,,
G3560,νουθετέω,New Testament,Greek,,From G3559,,
G3561,νουμηνία,New Testament,Greek,,From G3501+G3376+G2250,,
G3562,νουνεχῶς,New Testament,Greek,,From G3563+G2192,,
G3563,νοῦς,New Testament,Greek,,From G1097,,
G3564,Νυμφᾶς,New Testament,Greek,,From G3565+G1435,,
G3565,νύμφη,New Testament,Greek,,νύμφη,,
G3566,νυμφίος,New Testament,Greek,,From G3565,,
G3567,νυμφών,New Testament,Greek,,From G3565,,
G3568,νῦν,New Testament,Greek,,νῦν,,
G3569,τὰ νῦν,New Testament,Greek,,From G3588+G3568,,
G3570,νυνί,New Testament,Greek,,From G3568,,
G3571,νύξ,New Testament,Greek,,νύξ,రాత్రి,
G3572,νύσσω,New Testament,Greek,,νύσσω,,
G3573,νυστάζω,New Testament,Greek,,From G3506,,
G3574,νυχθήμερον,New Testament,Greek,,From G3571+G2250,,
G3575,Νῶε,New Testament,Greek,,From H5146,,
G3576,νωθρός,New Testament,Greek,,From G3541,,
G3577,νῶτος,New Testament,Greek,,νῶτος,,
G3578,ξενία,New Testament,Greek,,From G3581,,
G3579,ξενίζω,New Testament,Greek,,From G3581,,
G3580,ξενοδοχέω,New Testament,Greek,,From G3581+G1209,,
G3581,ξένος,New Testament,Greek,,ξένος,,
G3582,ξέστης,New Testament,Greek,,ξέστης,,
G3583,ξηραίνω,New Testament,Greek,,From G3584,,
G3584,ξηρός,New Testament,Greek,,From G3582,,
G3585,ξύλινος,New Testament,Greek,,From G3586,,
G3586,ξύλον,New Testament,Greek,,From G3582,,
G3587,ξυράω,New Testament,Greek,,From G3586,,
G3588,τό,New Testament,Greek,,τό,,
G3589,ὀγδοήκοντα,New Testament,Greek,,From G3590,,
G3590,ὄγδοος,New Testament,Greek,,From G3638,,
G3591,ὄγκος,New Testament,Greek,,From G43,,
G3592,τόδε,New Testament,Greek,,From G3588+G1161,,
G3593,ὁδεύω,New Testament,Greek,,From G3598,,
G3594,ὁδηγέω,New Testament,Greek,,From G3595,,
G3595,ὁδηγός,New Testament,Greek,,From G3598+G2233,,
G3596,ὁδοιπορέω,New Testament,Greek,,From G3598+G4198,,
G3597,ὁδοιπορία,New Testament,Greek,,From G3596,,
G3598,ὁδός,New Testament,Greek,,ὁδός,"మార్గం, మార్గం",
G3599,ὀδούς,New Testament,Greek,,From G2068,,
G3600,ὀδυνάω,New Testament,Greek,,From G3601,,
G3601,ὀδύνη,New Testament,Greek,,From G1416,,
G3602,ὀδυρμός,New Testament,Greek,,From G1416,,
G3603,ὅ ἐστι,New Testament,Greek,,From G3739+G1510,,
G3604,Ὀζίας,New Testament,Greek,,From H5818,,
G3605,ὄζω,New Testament,Greek,,ὄζω,,
G3606,ὅθεν,New Testament,Greek,,From G3739,,
G3607,ὀθόνη,New Testament,Greek,,ὀθόνη,,
G3608,ὀθόνιον,New Testament,Greek,,From G3607,,
G3609,οἰκεῖος,New Testament,Greek,,From G3624,,
G3610,οἰκέτης,New Testament,Greek,,From G3611,,
G3611,οἰκέω,New Testament,Greek,,From G3624,,
G3612,οἴκημα,New Testament,Greek,,From G3611,,
G3613,οἰκητήριον,New Testament,Greek,,From G3611+G3612,,
G3614,οἰκία,New Testament,Greek,,From G3624,,
G3615,οἰκιακός,New Testament,Greek,,From G3614,,
G3616,οἰκοδεσποτέω,New Testament,Greek,,From G3617,,
G3617,οἰκοδεσπότης,New Testament,Greek,,From G3624+G1203,,
G3618,οἰκοδομέω,New Testament,Greek,,From G3619,,
G3619,οἰκοδομή,New Testament,Greek,,From G3624+G1430,,
G3620,οἰκοδομία,New Testament,Greek,,From G3619,,
G3621,οἰκονομέω,New Testament,Greek,,From G3623,,
G3622,οἰκονομία,New Testament,Greek,,From G3623,,
G3623,οἰκονόμος,New Testament,Greek,,From G3624+G3551,,
G3624,οἶκος,New Testament,Greek,,οἶκος,,
G3625,οἰκουμένη,New Testament,Greek,,From G3611+G1093,,
G3626,οἰκουρός,New Testament,Greek,,From G3624,,
G3627,οἰκτερέω,New Testament,Greek,,οἰκτερέω,,
G3628,οἰκτιρμός,New Testament,Greek,,From G3627,,
G3629,οἰκτίρμων,New Testament,Greek,,From G3627,,
G3630,οἰνοπότης,New Testament,Greek,,From G3631+G4095,,
G3631,οἶνος,New Testament,Greek,,From H3196,,
G3632,οἰνοφλυγία,New Testament,Greek,,From G3631+G5397,,
G3633,οἶμαι,New Testament,Greek,,From G3634,,
G3634,οἷος,New Testament,Greek,,From G3588+G3739+G3745,,
G3635,ὀκνέω,New Testament,Greek,,ὀκνέω,,
G3636,ὀκνηρός,New Testament,Greek,,From G3635,,
G3637,ὀκταήμερος,New Testament,Greek,,From G3638+G2250,,
G3638,ὀκτώ,New Testament,Greek,,ὀκτώ,,
G3639,ὄλεθρος,New Testament,Greek,,ὄλεθρος,,
G3640,ὀλιγόπιστος,New Testament,Greek,,From G3641+G4102,,
G3641,ὀλίγος,New Testament,Greek,,ὀλίγος,,
G3642,ὀλιγόψυχος,New Testament,Greek,,From G3641+G5590,,
G3643,ὀλιγωρέω,New Testament,Greek,,From G3641,,
G3644,ὀλοθρευτής,New Testament,Greek,,From G3645,,
G3645,ὀλοθρεύω,New Testament,Greek,,From G3639,,
G3646,ὁλοκαύτωμα,New Testament,Greek,,From G3650+G2545,,
G3647,ὁλοκληρία,New Testament,Greek,,From G3648,,
G3648,ὁλόκληρος,New Testament,Greek,,From G3650+G2819,,
G3649,ὀλολύζω,New Testament,Greek,,ὀλολύζω,,
G3650,ὅλος,New Testament,Greek,,ὅλος,,
G3651,ὁλοτελής,New Testament,Greek,,From G3650+G5056,,
G3652,Ὀλυμπᾶς,New Testament,Greek,,Ὀλυμπᾶς,,
G3653,ὄλυνθος,New Testament,Greek,,ὄλυνθος,,
G3654,ὅλως,New Testament,Greek,,From G3650,,
G3655,ὄμβρος,New Testament,Greek,,ὄμβρος,,
G3656,ὁμιλέω,New Testament,Greek,,From G3658,,
G3657,ὁμιλία,New Testament,Greek,,From G3658,,
G3658,ὅμιλος,New Testament,Greek,,From G3674+G138,,
G3659,ὄμμα,New Testament,Greek,,From G3700,,
G3660,ὀμνύω,New Testament,Greek,,ὀμνύω,,
G3661,ὁμοθυμαδόν,New Testament,Greek,,From G3674+G2372,,
G3662,ὁμοιάζω,New Testament,Greek,,From G3664,,
G3663,ὁμοιοπαθής,New Testament,Greek,,From G3664+G3958,,
G3664,ὅμοιος,New Testament,Greek,,From G3674,,
G3665,ὁμοιότης,New Testament,Greek,,From G3664,,
G3666,ὁμοιόω,New Testament,Greek,,From G3664,,
G3667,ὁμοίωμα,New Testament,Greek,,From G3666,,
G3668,ὁμοίως,New Testament,Greek,,From G3664,,
G3669,ὁμοίωσις,New Testament,Greek,,From G3666,,
G3670,ὁμολογέω,New Testament,Greek,,From G3674+G3056,,
G3671,ὁμολογία,New Testament,Greek,,From G3670,,
G3672,ὁμολογουμένως,New Testament,Greek,,From G3670,,
G3673,ὁμότεχνος,New Testament,Greek,,From G3674+G5078,,
G3674,ὁμοῦ,New Testament,Greek,,ὁμοῦ,,
G3675,ὁμόφρων,New Testament,Greek,,From G3674+G5424,,
G3676,ὅμως,New Testament,Greek,,From G3674,,
G3677,ὄναρ,New Testament,Greek,,ὄναρ,,
G3678,ὀνάριον,New Testament,Greek,,From G3688,,
G3679,ὀνειδίζω,New Testament,Greek,,From G3681,,
G3680,ὀνειδισμός,New Testament,Greek,,From G3679,,
G3681,ὄνειδος,New Testament,Greek,,From G3686,,
G3682,Ὀνήσιμος,New Testament,Greek,,From G3685,,
G3683,Ὀνησίφορος,New Testament,Greek,,From G3685+G5411,,
G3684,ὀνικός,New Testament,Greek,,From G3688,,
G3685,ὀνίνημι,New Testament,Greek,,ὀνίνημι,,
G3686,ὄνομα,New Testament,Greek,,From G1097+G3685,,
G3687,ὀνομάζω,New Testament,Greek,,From G3686,,
G3688,ὄνος,New Testament,Greek,,ὄνος,,
G3689,ὄντως,New Testament,Greek,,From G5607,,
G3690,ὄξος,New Testament,Greek,,From G3691,,
G3691,ὀξύς,New Testament,Greek,,From G188,,
G3692,ὀπή,New Testament,Greek,,From G3700,,
G3693,ὄπισθεν,New Testament,Greek,,ὄπισθεν,,
G3694,ὀπίσω,New Testament,Greek,,From G3693,,
G3695,ὁπλίζω,New Testament,Greek,,From G3696,,
G3696,ὅπλον,New Testament,Greek,,ὅπλον,,
G3697,ὁποῖος,New Testament,Greek,,From G3739+G4169,,
G3698,ὁπότε,New Testament,Greek,,From G3739+G4218,,
G3699,ὅπου,New Testament,Greek,,From G3739+G4225,,
G3700,ὀπτάνομαι,New Testament,Greek,,From G3708,,
G3701,ὀπτασία,New Testament,Greek,,From G3700,,
G3702,ὀπτός,New Testament,Greek,,ὀπτός,,
G3703,ὀπώρα,New Testament,Greek,,From G3796+G5610,,
G3704,ὅπως,New Testament,Greek,,From G3739+G4459,,
G3705,ὅραμα,New Testament,Greek,,From G3708,,
G3706,ὅρασις,New Testament,Greek,,From G3708,,
G3707,ὁρατός,New Testament,Greek,,From G3708,,
G3708,ὁράω,New Testament,Greek,,From G3700,"చూడటానికి, చూడడానికి",
G3709,ὀργή,New Testament,Greek,,From G3713,,
G3710,ὀργίζω,New Testament,Greek,,From G3709,,
G3711,ὀργίλος,New Testament,Greek,,From G3709,,
G3712,ὀργυιά,New Testament,Greek,,From G3713,,
G3713,ὀρέγομαι,New Testament,Greek,,From G3735,,
G3714,ὀρεινός,New Testament,Greek,,From G3735,,
G3715,ὄρεξις,New Testament,Greek,,From G3713,,
G3716,ὀρθοποδέω,New Testament,Greek,,From G3717+G4228,,
G3717,ὀρθός,New Testament,Greek,,From G3735,,
G3718,ὀρθοτομέω,New Testament,Greek,,From G3717+G5114,,
G3719,ὀρθρίζω,New Testament,Greek,,From G3722,,
G3720,ὀρθρινός,New Testament,Greek,,From G3722,,
G3721,ὄρθριος,New Testament,Greek,,From G3722,,
G3722,ὄρθρος,New Testament,Greek,,From G3735,,
G3723,ὀρθῶς,New Testament,Greek,,From G3717,,
G3724,ὁρίζω,New Testament,Greek,,From G3725,,
G3725,ὅριον,New Testament,Greek,,ὅριον,,
G3726,ὁρκίζω,New Testament,Greek,,From G3727,,
G3727,ὅρκος,New Testament,Greek,,From G3725,,
G3728,ὁρκωμοσία,New Testament,Greek,,From G3727+G3660,,
G3729,ὁρμάω,New Testament,Greek,,From G3730,,
G3730,ὁρμή,New Testament,Greek,,ὁρμή,,
G3731,ὅρμημα,New Testament,Greek,,From G3730,,
G3732,ὄρνεον,New Testament,Greek,,From G3733,,
G3733,ὄρνις,New Testament,Greek,,From G3735,,
G3734,ὁροθεσία,New Testament,Greek,,From G3725+G5087,,
G3735,ὄρος,New Testament,Greek,,From G142+G3733,,
G3736,ὀρύσσω,New Testament,Greek,,ὀρύσσω,,
G3737,ὀρφανός,New Testament,Greek,,ὀρφανός,,
G3738,ὀρχέομαι,New Testament,Greek,,ὀρχέομαι,,
G3739,ὅ,New Testament,Greek,,From G3588,,
G3740,ὁσάκις,New Testament,Greek,,From G3739,,
G3741,ὅσιος,New Testament,Greek,,ὅσιος,,
G3742,ὁσιότης,New Testament,Greek,,From G3741,,
G3743,ὁσίως,New Testament,Greek,,From G3741,,
G3744,ὀσμή,New Testament,Greek,,From G3605,,
G3745,ὅσος,New Testament,Greek,,From G3739,,
G3746,ὅσπερ,New Testament,Greek,,From G3739+G4007,,
G3747,ὀστοῦν,New Testament,Greek,,ὀστοῦν,,
G3748,ὅτι,New Testament,Greek,,From G3739+G5100,,
G3749,ὀστράκινος,New Testament,Greek,,ὀστράκινος,,
G3750,ὄσφρησις,New Testament,Greek,,From G3605,,
G3751,ὀσφῦς,New Testament,Greek,,ὀσφῦς,,
G3752,ὅταν,New Testament,Greek,,From G3753+G302,,
G3753,ὅτε,New Testament,Greek,,From G3739+G5037,,
G3754,ὅτι,New Testament,Greek,,From G3748,,
G3755,ὅτου,New Testament,Greek,,From G3748,,
G3756,οὐχ,New Testament,Greek,,οὐχ,,
G3757,οὗ,New Testament,Greek,,From G3739,,
G3758,οὐά,New Testament,Greek,,οὐά,,
G3759,οὐαί,New Testament,Greek,,οὐαί,,
G3760,οὐδαμῶς,New Testament,Greek,,From G3762,,
G3761,οὐδέ,New Testament,Greek,,From G3756+G1161,,
G3762,οὐδέν,New Testament,Greek,,From G3761+G1520,,
G3763,οὐδέποτε,New Testament,Greek,,From G3761+G4218,,
G3764,οὐδέπω,New Testament,Greek,,From G3761+G4452,,
G3765,οὐκ ἔτι,New Testament,Greek,,From G3756+G2089,,
G3766,οὐκοῦν,New Testament,Greek,,From G3756+G3767,,
G3767,οὖν,New Testament,Greek,,οὖν,,
G3768,οὔπω,New Testament,Greek,,From G3756+G4452,,
G3769,οὐρά,New Testament,Greek,,οὐρά,,
G3770,οὐράνιος,New Testament,Greek,,From G3772,,
G3771,οὐρανόθεν,New Testament,Greek,,From G3772,,
G3772,οὐρανός,New Testament,Greek,,From G3735,స్వర్గం,
G3773,Οὐρβανός,New Testament,Greek,,Οὐρβανός,,
G3774,Οὐρίας,New Testament,Greek,,From H223,,
G3775,οὖς,New Testament,Greek,,οὖς,,
G3776,οὐσία,New Testament,Greek,,From G5607,,
G3777,οὔτε,New Testament,Greek,,From G3756+G5037,,
G3778,αὕται,New Testament,Greek,,From G3588+G846,,
G3779,οὕτως,New Testament,Greek,,From G3778,,
G3780,οὐχί,New Testament,Greek,,From G3756,,
G3781,ὀφειλέτης,New Testament,Greek,,From G3784,,
G3782,ὀφειλή,New Testament,Greek,,From G3784,,
G3783,ὀφείλημα,New Testament,Greek,,From G3784,,
G3784,ὀφειλέω,New Testament,Greek,,From G3786,,
G3785,ὄφελον,New Testament,Greek,,From G3784,,
G3786,ὄφελος,New Testament,Greek,,ὄφελος,,
G3787,ὀφθαλμοδουλεία,New Testament,Greek,,From G3788+G1397,,
G3788,ὀφθαλμός,New Testament,Greek,,From G3700,కన్ను,
G3789,ὄφις,New Testament,Greek,,From G3700,,
G3790,ὀφρῦς,New Testament,Greek,,From G3700,,
G3791,ὀχλέω,New Testament,Greek,,From G3793,,
G3792,ὀχλοποιέω,New Testament,Greek,,From G3793+G4160,,
G3793,ὄχλος,New Testament,Greek,,From G2192,,
G3794,ὀχύρωμα,New Testament,Greek,,From G2192,,
G3795,ὀψάριον,New Testament,Greek,,From G3702,,
G3796,ὀψέ,New Testament,Greek,,From G3694,,
G3797,ὄψιμος,New Testament,Greek,,From G3796,,
G3798,ὄψιος,New Testament,Greek,,From G3796,,
G3799,ὄψις,New Testament,Greek,,From G3700,,
G3800,ὀψώνιον,New Testament,Greek,,From G3795,,
G3801,ὁ ὢν καί ὁ ἦν καί ὁ ἐρχόμενος,New Testament,Greek,,From G3588+G1510+G2064+G2532,,
G3802,παγιδεύω,New Testament,Greek,,From G3803,,
G3803,παγίς,New Testament,Greek,,From G4078,,
G3804,πάθημα,New Testament,Greek,,From G3806,,
G3805,παθητός,New Testament,Greek,,From G3804,,
G3806,πάθος,New Testament,Greek,,From G3958,,
G3807,παιδαγωγός,New Testament,Greek,,From G3816+G71,,
G3808,παιδάριον,New Testament,Greek,,From G3816,,
G3809,παιδεία,New Testament,Greek,,From G3811,,
G3810,παιδευτής,New Testament,Greek,,From G3811,,
G3811,παιδεύω,New Testament,Greek,,From G3816,,
G3812,παιδιόθεν,New Testament,Greek,,From G3813,,
G3813,παιδίον,New Testament,Greek,,From G3816,,
G3814,παιδίσκη,New Testament,Greek,,From G3816,,
G3815,παίζω,New Testament,Greek,,From G3816,,
G3816,παῖς,New Testament,Greek,,From G3817,,
G3817,παίω,New Testament,Greek,,παίω,,
G3818,Πακατιανή,New Testament,Greek,,Πακατιανή,,
G3819,πάλαι,New Testament,Greek,,From G3825,,
G3820,παλαιός,New Testament,Greek,,From G3819,,
G3821,παλαιότης,New Testament,Greek,,From G3820,,
G3822,παλαιόω,New Testament,Greek,,From G3820,,
G3823,πάλη,New Testament,Greek,,From G906,,
G3824,παλιγγενεσία,New Testament,Greek,,From G3825+G1078,,
G3825,πάλιν,New Testament,Greek,,From G3823,,
G3826,παμπληθεί,New Testament,Greek,,From G3956+G4128,,
G3827,πάμπολυς,New Testament,Greek,,From G3956+G4183,,
G3828,Παμφυλία,New Testament,Greek,,From G3956+G4443,,
G3829,πανδοχεῖον,New Testament,Greek,,From G3956+G1209,,
G3830,πανδοχεύς,New Testament,Greek,,From G3829,,
G3831,πανήγυρις,New Testament,Greek,,From G3956+G58,,
G3832,πανοικί,New Testament,Greek,,From G3956+G3624,,
G3833,πανοπλία,New Testament,Greek,,From G3956+G3696,,
G3834,πανουργία,New Testament,Greek,,From G3835,,
G3835,πανοῦργος,New Testament,Greek,,From G3956+G2041,,
G3836,πανταχόθεν,New Testament,Greek,,From G3837,,
G3837,πανταχοῦ,New Testament,Greek,,From G3956,,
G3838,παντελής,New Testament,Greek,,From G3956+G5056,,
G3839,πάντη,New Testament,Greek,,From G3956,,
G3840,πάντοθεν,New Testament,Greek,,From G3956,,
G3841,παντοκράτωρ,New Testament,Greek,,From G3956+G2904,,
G3842,πάντοτε,New Testament,Greek,,From G3956+G3753,,
G3843,πάντως,New Testament,Greek,,From G3956,,
G3844,παρά,New Testament,Greek,,παρά,,
G3845,παραβαίνω,New Testament,Greek,,From G3844+G939,,
G3846,παραβάλλω,New Testament,Greek,,From G3844+G906,,
G3847,παράβασις,New Testament,Greek,,From G3845,,
G3848,παραβάτης,New Testament,Greek,,From G3845,,
G3849,παραβιάζομαι,New Testament,Greek,,From G3844+G971,,
G3850,παραβολή,New Testament,Greek,,From G3846,,
G3851,παραβουλεύομαι,New Testament,Greek,,From G3844+G1011,,
G3852,παραγγελία,New Testament,Greek,,From G3853,,
G3853,παραγγέλλω,New Testament,Greek,,From G3844+G32,,
G3854,παραγίνομαι,New Testament,Greek,,From G3844+G1096,,
G3855,παράγω,New Testament,Greek,,From G3844+G71,,
G3856,παραδειγματίζω,New Testament,Greek,,From G3844+G1165,,
G3857,παράδεισος,New Testament,Greek,,From H6508,,
G3858,παραδέχομαι,New Testament,Greek,,From G3844+G1209,,
G3859,παραδιατριβή,New Testament,Greek,,From G3844+G1304,,
G3860,παραδίδωμι,New Testament,Greek,,From G3844+G1325,,
G3861,παράδοξος,New Testament,Greek,,From G3844+G1391,,
G3862,παράδοσις,New Testament,Greek,,From G3860,,
G3863,παραζηλόω,New Testament,Greek,,From G3844+G2206,,
G3864,παραθαλάσσιος,New Testament,Greek,,From G3844+G2281,,
G3865,παραθεωρέω,New Testament,Greek,,From G3844+G2334,,
G3866,παραθήκη,New Testament,Greek,,From G3908,,
G3867,παραινέω,New Testament,Greek,,From G3844+G134,,
G3868,παραιτέομαι,New Testament,Greek,,From G3844+G154,,
G3869,παρακαθίζω,New Testament,Greek,,From G3844+G2523,,
G3870,παρακαλέω,New Testament,Greek,,From G3844+G2564,,
G3871,παρακαλύπτω,New Testament,Greek,,From G3844+G2572,,
G3872,παρακαταθήκη,New Testament,Greek,,From G3844+G2698,,
G3873,παράκειμαι,New Testament,Greek,,From G3844+G2749,,
G3874,παράκλησις,New Testament,Greek,,From G3870,,
G3875,παράκλητος,New Testament,Greek,,παράκλητος,,
G3876,παρακοή,New Testament,Greek,,From G3878,,
G3877,παρακολουθέω,New Testament,Greek,,From G3844+G190,,
G3878,παρακούω,New Testament,Greek,,From G3844+G191,,
G3879,παρακύπτω,New Testament,Greek,,From G3844+G2955,,
G3880,παραλαμβάνω,New Testament,Greek,,From G3844+G2983,,
G3881,παραλέγομαι,New Testament,Greek,,From G3844+G3004,,
G3882,παράλιος,New Testament,Greek,,From G3844+G251,,
G3883,παραλλαγή,New Testament,Greek,,From G3844+G236,,
G3884,παραλογίζομαι,New Testament,Greek,,From G3844+G3049,,
G3885,παραλυτικός,New Testament,Greek,,From G3886,,
G3886,παραλύω,New Testament,Greek,,From G3844+G3089,,
G3887,παραμένω,New Testament,Greek,,From G3844+G3306,,
G3888,παραμυθέομαι,New Testament,Greek,,From G3844+G3454,,
G3889,παραμυθία,New Testament,Greek,,From G3888,,
G3890,παραμύθιον,New Testament,Greek,,From G3889,,
G3891,παρανομέω,New Testament,Greek,,From G3844+G3551,,
G3892,παρανομία,New Testament,Greek,,From G3891,,
G3893,παραπικραίνω,New Testament,Greek,,From G3844+G4087,,
G3894,παραπικρασμός,New Testament,Greek,,From G3893,,
G3895,παραπίπτω,New Testament,Greek,,From G3844+G4098,,
G3896,παραπλέω,New Testament,Greek,,From G3844+G4126,,
G3897,παραπλήσιον,New Testament,Greek,,From G3844+G4139,,
G3898,παραπλησίως,New Testament,Greek,,From G3897,,
G3899,παραπορεύομαι,New Testament,Greek,,From G3844+G4198,,
G3900,παράπτωμα,New Testament,Greek,,From G3895,,
G3901,παραῤῥυέω,New Testament,Greek,,From G3844+G4482,,
G3902,παράσημος,New Testament,Greek,,From G3844+G4591,,
G3903,παρασκευάζω,New Testament,Greek,,From G3844+G4632,,
G3904,παρασκευή,New Testament,Greek,,From G3903,,
G3905,παρατείνω,New Testament,Greek,,From G3844,,
G3906,παρατηρέω,New Testament,Greek,,From G3844+G5083,,
G3907,παρατήρησις,New Testament,Greek,,From G3906,,
G3908,παρατίθημι,New Testament,Greek,,From G3844+G5087,,
G3909,παρατυγχάνω,New Testament,Greek,,From G3844+G5177,,
G3910,παραυτίκα,New Testament,Greek,,From G3844+G846,,
G3911,παραφέρω,New Testament,Greek,,From G3844+G5342,,
G3912,παραφρονέω,New Testament,Greek,,From G3844+G5426,,
G3913,παραφρονία,New Testament,Greek,,From G3912,,
G3914,παραχειμάζω,New Testament,Greek,,From G3844+G5492,,
G3915,παραχειμασία,New Testament,Greek,,From G3914,,
G3916,παραχρῆμα,New Testament,Greek,,From G3844+G5536,,
G3917,πάρδαλις,New Testament,Greek,,πάρδαλις,,
G3918,πάρειμι,New Testament,Greek,,From G3844+G1510,,
G3919,παρεισάγω,New Testament,Greek,,From G3844+G1521,,
G3920,παρείσακτος,New Testament,Greek,,From G3919,,
G3921,παρεισδύνω,New Testament,Greek,,From G3844+G1519+G1416,,
G3922,παρεισέρχομαι,New Testament,Greek,,From G3844+G1525,,
G3923,παρεισφέρω,New Testament,Greek,,From G3844+G1533,,
G3924,παρεκτός,New Testament,Greek,,From G3844+G1622,,
G3925,παρεμβολή,New Testament,Greek,,From G3844+G1685,,
G3926,παρενοχλέω,New Testament,Greek,,From G3844+G1776,,
G3927,παρεπίδημος,New Testament,Greek,,From G3844+G1927,,
G3928,παρέρχομαι,New Testament,Greek,,From G3844+G2064,,
G3929,πάρεσις,New Testament,Greek,,From G2935,,
G3930,παρέχω,New Testament,Greek,,From G3844+G2192,,
G3931,παρηγορία,New Testament,Greek,,From G3844+G58,,
G3932,παρθενία,New Testament,Greek,,From G3933,,
G3933,παρθένος,New Testament,Greek,,παρθένος,,
G3934,Πάρθος,New Testament,Greek,,Πάρθος,,
G3935,παρίημι,New Testament,Greek,,From G3844,,
G3936,παριστάνω,New Testament,Greek,,From G3844+G2476,,
G3937,Παρμενᾶς,New Testament,Greek,,From G3844+G3306,,
G3938,πάροδος,New Testament,Greek,,From G3844+G3598,,
G3939,παροικέω,New Testament,Greek,,From G3844+G3611,,
G3940,παροικία,New Testament,Greek,,From G3941,,
G3941,πάροικος,New Testament,Greek,,From G3844+G3624,,
G3942,παροιμία,New Testament,Greek,,From G3844+G3633,,
G3943,πάροινος,New Testament,Greek,,From G3844+G3631,,
G3944,παροίχομαι,New Testament,Greek,,From G3844,,
G3945,παρομοιάζω,New Testament,Greek,,From G3946,,
