strongs,word,occurrences,english_meaning,telugu_meaning
H4636,מַעֲרוֹם,1,in the sense of stripping],
H4637,מַעֲרָצָה,1,violence,
H4638,מַעֲרָת,1,a place in Israel,
H4640,מַעֲשַׂי,1,an Israelite,
H4644,מוֹף,1,Memphis,
H4645,מִפגָּע,1,an object of attack,
H4646,מַפָּח,1,i.e. expiring,
H4647,מַפּוַּח,1,the bellows (i.e. blower) of a forge,
H4649,מוּפִּים,1,an Israelite,
H4650,מֵפִיצּ,1,i.e. mallet,
H4652,מִפלָאָה,1,a miracle,
H4653,מִפלַגָּה,1,a classification,
H4655,מִפלָט,1,an escape,
H4657,מִפלָשׂ,1,a poising,
H4660,מַפָּץ,1,a smiting to pieces,
H4661,מַפֵּץ,1,i.e. a war club,
H4663,מִפקָד,1,the name of a gate in Jerusalem,
H4664,מִפרָץ,1,i.e. a haven,
H4665,מִפרֶקֶת,1,i.e. joint (vertebrae) of the neck,
H4667,מִפשָׂעָה,1,i.e. (by euphemism) the crotch,
H4674,מוּצָּב,1,i.e. military post,
H4677,מְצוֹבָיָה,1,a place in Israel,
H4681,מוֹצָה,1,a place in Israel,
H4695,מַצּוּת,1,a quarrel,
H4697,מִצחָה,1,only plural,
H4698,מְצִלָּה,1,i.e. a bell,
H4699,מְצוּלָּה,1,shade,
H4702,מַצָּע,1,a couch,
H4704,מִצְּעִירָה,1,(properly) littleness; (concretely) diminutive,
H4706,מִצעָר,1,a peak of Lebanon,
H4710,מִצפּוּן,1,"perhaps, treasure)",
H4711,מָצַץ,1,to suck,
H4724,מִקוָה,1,i.e. (of water) a reservoir,
H4727,מִקָּח,1,reception,
H4728,מַקָּחָה,1,i.e. merchandise (purchased),
H4729,מִקטָּר,1,something to fume (incense) on i.e. a hearth place,
H4739,מָקַץ,1,a place in Israel,
H4741,מַקצּוּעָה,1,i.e. a carving chisel,
H4746,מְקָרֶה,1,i.e. a frame (of timbers),
H4748,מִקשֶׁה,1,i.e. a curl (of tresses),
H4750,מִקשָׁה,1,i.e. a cucumber patch,
H4752,מַר,1,a drop,
H4755,מָרָא,1,a symbolic name of Naomi,
H4757,מְראוֹדַך בַּלאָדָן,1,a Babylonian king,
H4760,מוּראָה,1,i.e. the craw of a bird (from its prominence),
H4761,מַראָשָׁה,1,i.e. (plural for collective) dominion,
H4767,מִרבָּה,1,i.e. a great quantity,
H4771,מַרגּוַֹע,1,a resting place,
H4773,מַרגֵּמָה,1,a stone-heap,
H4774,מַרגֵּעָה,1,rest,
H4776,מְרַד,1,mrad (mer-ad') n-m. 1. rebellion [(Aramaic) from a root corresponding to H4775] KJV: rebellion.  Root(s): H4775,
H4777,מֶרֶד,1,rebellion,
H4780,מַרדּוּת,1,rebelliousness,
H4781,מְרוֹדָך,1,a Babylonian idol,
H4783,מוּרדָּף,1,persecuted,
H4786,מוֹרָה,1,i.e. (figuratively) trouble,
H4787,מָררָה,1,trouble,
H4789,מֵרוֹז,1,a place in Israel,
H4790,מְרוַֹח,1,i.e. emasculated,
H4793,מֵרוֹץ,1,a run (the trial of speed),
H4795,מָרוּק,1,a rubbing (with perfumery),
H4796,מָרוֹת,1,a place in Israel,
H4797,מִרזַח,1,"i.e. (of job), a revel",
H4798,מַרזֵַח,1,i.e. (of grief) a lamentation,
H4799,מָרַח,1,(properly) to soften by rubbing or pressure; hence (medicinally) to apply as an emollient,
H4804,מְרַט,1,mrat (mer-at') v. 1. to pull off [(Aramaic) corresponding to H4803] KJV: be plucked.  Root(s): H4803,
H4810,מְרִי בַּעַל,1,an epithet of Gideon,
H4811,מְרָיָה,1,an Israelite,
H4814,מְרִירוּת,1,i.e. (figuratively) grief,
H4815,מְרִירִי,1,i.e. poisonous,
H4816,מוֹרֶך,1,i.e. (figuratively) fear,
H4819,מַרכּוֹלֶת,1,a mart,
H4821,מִרמָה,1,an Israelite,
H4825,מֶרֶס,1,a Persian,
H4826,מַרסְנָא,1,a Persian,
H4827,מֵרַע,1,wickedness,
H4831,מַרעֲלָה,1,"Maralah, a place in Israel",
H4833,מִרפָּשׂ,1,muddled water,
H4835,מְרוּצָה,1,oppression,
H4837,מַרצֶּפֶת,1,a pavement,
H4840,מֶרקָח,1,a spicy herb,
H4845,מְרֵרָה,1,bile (from its bitterness),
H4848,מְרָרִי,1,or decendants of Merari,
H4849,מִרשַׁעַת,1,a female wicked doer,
H4850,מְרָתַיִם,1,an epithet of Babylon,
H4851,מַשׁ,1,"a son of Aram, and the people descended from him",
H4852,מֵשָׁא,1,a place in Arabia,
H4856,מַשּׂוֹא,1,partiality (as a lifting up),
H4857,מַשׁאָב,1,a trough for cattle to drink from,
H4858,מַשָּׂאָה,1,a conflagration (from the rising of smoke),
H4860,מַשָּׁאוֹן,1,dissimulation,
H4868,מִשׁבָּת,1,i.e. destruction,
H4870,מִשׁגֶּה,1,an error,
H4873,מוֹשֶׁה,1,Mosheh (mo-sheh') n/p. 1. Moses [(Aramaic) corresponding to H4872]  Root(s): H4872,
H4874,מַשֶּׁה,1,a debt,
H4877,מְשׁוֹבָב,1,an Israelite,
H4879,מְשׁוּגָה,1,mistake,
H4882,מְשׁוּסָה,1,spoilation,
H4883,מַשּׂוֹר,1,a saw,
H4890,מִשׂחָק,1,a laughing-stock,
H4891,מִשׁחָר,1,dawn,
H4892,מַשׁחֵת,1,destruction,
H4896,מִשׁטָּר,1,jurisdiction,
H4907,מִשׁכַּן,1,mishkan (mish-kan') n-m. 1. residence [(Aramaic) corresponding to H4908] KJV: habitation.  Root(s): H4908,
H4913,מָשָׁל,1,a place in Israel,
H4914,מְשׁוֹל,1,a satire,
H4921,מְשִׁלֵּמִיתּ,1,an Israelite,
H4922,מְשׁוּלֶּמֶת,1,an Israelitess,
H4925,מִשׁמַנָּה,1,an Israelite,
H4926,מִשׁמָע,1,a report,
H4930,מַשׂמְרָה,1,a peg,
H4934,מִשׁעוֹל,1,i.e. a narrow passage,
H4935,מִשׁעִי,1,inspection,
H4936,מִשׁעָם,1,an Israelite,
H4939,מִשׂפָּח,1,slaughter,
H4943,מֶשֶׁק,1,possession,
H4944,מַשָּׁק,1,i.e. rapid motion,
H4946,מִשׁקוֹל,1,weight,
H4950,מִשׁקָע,1,i.e. a pond,
H4952,מִשׁרָה,1,i.e. steeped juice,
H4954,מִשׁרָעִי,1,or inhabitant (collectively) of Mishra,
H4958,מַשׂרֵת,1,i.e. hollow out],
H4961,מִשׁתֶּה,1,mishteh (mish-teh') n-m. 1. a banquet [(Aramaic) corresponding to H4960] KJV: banquet.  Root(s): H4960,
H4963,מַתבֵּן,1,straw in the heap,
H4969,מָתַח,1,to stretch out,
H4972,מַתּתְּלָאָה,1,H8513,
H4981,מִתנִי,1,or inhabitant of Methen,
H4987,מוֹתֶק,1,sweetness,
H4988,מָתָק,1,(generally) food,
H4992,מַתּתַּתּתָּה,1,an Israelite,
H4995,נָא,1,i.e. uncooked (flesh),
H5001,נָאַם,1,(properly) to whisper; (by implication) to utter as a oracle,
H5005,נַאֲפוּף,1,adultery,
H5013,נְבָא,1,nba' (neb-aw') v. 1. prophesy [(Aramaic) corresponding to H5012]  Root(s): H5012,
H5017,נְבוּאָה,1,nbuw'ah (neb-oo-aw) n-f. 1. inspired teaching [(Aramaic) corresponding to H5016] KJV: prophesying.  Root(s): H5016,
H5021,נְבוּשַׁזבָּן,1,Nebuchadnezzar's chief eunuch,
H5024,נָבַח,1,to bark (as a dog),
H5026,נִבחַז,1,a deity of the Avites,
H5033,נֵבֶך,1,a fountain,
H5040,נַבלוּת,1,i.e. the (female) pudenda,
H5041,נְבַלָּט,1,a place in Israel,
H5043,נֶברְשָׁא,1,nebrsha' (neb-reh-shaw') n-f. 1. a light 2. plural (collectively) a chandelier [(Aramaic) from an unused root meaning to shine] KJV: candlestick.,
H5044,נִבשָׁן,1,a place in Israel,
H5047,נְגַד,1,ngad (neg-ad') v. 1. to flow (through the idea of clearing the way) [(Aramaic) corresponding to H5046] KJV: issue.  Root(s): H5046,
H5049,נֶגֶד,1,neged (neh'-ghed) prep. 1. opposite [(Aramaic) corresponding to H5048] KJV: toward.  Root(s): H5048,
H5053,נוֹגַהּ,1,nogahh (no'-gah) n-f. 1. dawn [(Aramaic) corresponding to H5051] KJV: morning.  Root(s): H5051,
H5054,נְגוֹהָה,1,splendor,
H5072,נְדַביָה,1,an Israelite,
H5075,נְדַד,1,ndad (ned-ad') v. 1. to depart [(Aramaic) corresponding to H5074] KJV: go from.  Root(s): H5074,
H5076,נָדוּד,1,a rolling (on the bed),
H5078,נֵדֶה,1,a bounty (for prostitution),
H5082,נְדִיבָּה,1,i.e. reputation,
H5083,נָדָן,1,a present (for prostitution),
H5084,נָדָן,1,a sheath (of a sword),
H5085,נִדנֶה,1,nidneh (nid-neh') n-m. 1. a sheath 2. (figuratively) the body (as the receptacle of the soul) [(Aramaic) from the same as H5084] KJV: body.  Root(s): H5084,
H5089,נוַֹהּ,1,lamentation,
H5093,נִהיָה,1,lamentation,
H5097,נַחֲלוֹל,1,pasture,
H5105,נְהָרָה,1,daylight,
H5111,נוּד,1,nuwd (nood) v. 1. to flee [(Aramaic) corresponding to H5116] KJV: get away.  Root(s): H5116,
H5112,נוֹד נוֹד,1,exile,
H5113,נוֹד,1,the land of Cain,
H5114,נוֹדָב,1,an Arab tribe,
H5119,נוֹחָה,1,an Israelite,
H5120,נוּט,1,be moved,
H5124,נוּמָה,1,sleepiness,
H5131,נוֹף,1,elevation,
H5134,נוּק,1,to suckle,
H5136,נוּשׁ,1,i.e. (figuratively) distressed,
H5143,נֵזֶק,1,loss,
H5147,נַחבִּי,1,an Israelite,
H5149,נְחוּם,1,an Israelite,
H5151,נַחוּם,1,an Israelite prophet,
H5153,נָחוּשׁ,1,"coppery, i.e. (figuratively) hard",
H5155,נְחִילָה,1,a flute,
H5156,נְחִיר,1,a nostril,
H5163,נַחַם,1,an Israelite,
H5164,נוֹחַם,1,i.e. desistance,
H5167,נַחֲמָנִי,1,an Israelite,
H5169,נָחַץ,1,to be urgent,
H5179,נְחוּשׁתָּא,1,an Israelitess,
H5180,נְחוּשׁתָּן,1,i.e. the copper serpent of the Desert,
H5185,נָחֵת,1,descending,
H5187,נְטִיל,1,laden,
H5192,נֵטֶל,1,a burden,
H5195,נָטִיַע,1,a plant,
H5196,נְטָעִים,1,a place in Israel,
H5202,נְטַר,1,ntar (net-ar') v. 1. to retain [(Aramaic) corresponding to H5201] KJV: keep.  Root(s): H5201,
H5204,נִי,1,apparently from H5091],
H5205,נִידּ,1,motion (of the lips in speech),
H5206,נִידָּה,1,i.e. exile,
H5211,נִיס,1,fugitive,
H5213,נִיצּוֹץ,1,a spark,
H5217,נָכָא,1,i.e. drive away,
H5222,נֵכֶה,1,i.e. (figuratively) traducer,
H5225,נָכוֹן,1,probably an Israelite,
H5231,נֵכֶל,1,deceit,
H5239,נָלָה,1,to complete,
H5240,נְמִבזֶה,1,despised],
H5242,נְמוּאֵלִי,1,or descendant of Nemuel,
H5245,נְמַר,1,nmar (nem-ar') n-m. 1. leopard [(Aramaic) corresponding to H5246]  Root(s): H5246,
H5247,נִמרָה,1,a place East of the Jordan,
H5252,נְסִבָּה,1,i.e. circumstance or turn of affairs,
H5256,נְסַח,1,ncach (nes-akh') v. 1. pull down [(Aramaic) corresponding to H5255]  Root(s): H5255,
H5259,נָסַך,1,i.e. (figuratively) to overspread,
H5260,נְסַך,1,ncak (nes-ak') v. 1. to pour out a libation [(Aramaic) corresponding to H5258] KJV: offer.  Root(s): H5258,
H5261,נְסַך,1,ncak (nes-ak') n-m. 1. a libation [(Aramaic) corresponding to H5262] KJV: drink offering.  Root(s): H5262,
H5263,נָסַס,1,i.e. be sick,
H5264,נָסַס,1,"or rather perhaps a denominative from H5251 (and identical with H5263, through the idea of a flag as fluttering in the wind); to raise a beacon",
H5266,נָסַק,1,to go up,
H5269,נֵעָה,1,a place in Israel,
H5272,נְעִיאֵל,1,a place in Israel,
H5277,נַעַם,1,an Israelite,
H5280,נַעֲמִי,1,or descendant of Naaman (collectively),
H5282,נַעֲמָן,1,pleasantness (plural as concrete),
H5286,נָעַר,1,to growl,
H5289,נַעַר,1,a wanderer,
H5293,נַעֲרַי,1,an Israelite,
H5295,נַעֲרָן,1,a place in Israel,
H5302,נוֹפַח,1,a place in Moab,
H5311,נֶפֶץ,1,a storm (as dispersing),
H5316,נֶפֶת,1,a height,
H5319,נַפתּוּל,1,a struggle,
H5323,נָצָא,1,to go away,
H5325,נִצָּב,1,i.e. a handle,
H5326,נִצבָּה,1,"nitsbah (nits-baw') n-f. 1. fixedness, i.e. firmness [(Aramaic) from a root corresponding to H5324] KJV: strength.  Root(s): H5324",
H5330,נְצַח,1,ntsach (nets-akh') v. 1. to become chief [(Aramaic) corresponding to H5329] KJV: be preferred.  Root(s): H5329,
H5334,נְצִיבּ,1,a place in Israel,
H5336,נָצִיר,1,delivered,
H5339,נִצָּן,1,a blossom,
H5340,נָצַץ,1,i.e. be bright- colored,
H5343,נְקֵא,1,nqe' (nek-ay') adj. 1. clean [(Aramaic) from a root corresponding to H5352] KJV: pure.  Root(s): H5352,
H5345,נֶקֶב,1,pipe,
H5346,נֶקֶב,1,a place in Israel,
H5351,נְקוּדָּה,1,a boss,
H5354,נָקַט,1,to loathe,
H5364,נִקפָּה,1,probably a rope (as encircling),
H5368,נְקַשׁ,1,"nqash (nek-ash') v. 1. to knock [(Aramaic) corresponding to H5367, but used in the sense of H5362] KJV: smote.  Root(s): H5367, H5362",
H5370,נֵרגַּל,1,a Cuthite deity,
H5379,נִשֵּׂאתּ,1,i.e. a present,
H5385,נְשׂוּאָה נְשׂוּאָה,1,"something borne, i.e. a load",
H5388,נְשִׁיָה,1,oblivion,
H5389,נָשִׁין,1,nashiyn (naw-sheen') n-f. 1. women [(Aramaic) irregular plural feminine of H606]  Root(s): H606,
H5395,נָשַׁם,1,i.e. destroy,
H5396,נִשׁמָא,1,nishma' (nish-maw') n-f. 1. vital breath [(Aramaic) corresponding to H5397] KJV: breath.  Root(s): H5397,
H5412,נְתִין,1,Nthiyn (netheen') n-m. 1. Nethinims [(Aramaic) corresponding to H5411]  Root(s): H5411,
H5419,נְתַן ־ מֶלֶך,1,an Israelite,
H5420,נָתַס,1,to tear up,
H5421,נָתַע,1,to tear out,
H5426,נְתַר,1,nther (neth-ar') v. 1. shake off [(Aramaic) corresponding to H5425]  Root(s): H5425,
H5430,סְאוֹן,1,perhaps a military boot (as a protection from mud,
H5431,סָאַן,1,i.e. (active participle) a soldier shod,
H5432,סַאסְאָה,1,i.e. moderation,
H5436,סְבָאִי,1,or inhabitant of Seba,
H5438,סִבָּה,1,a (providential) turn (of affairs),
H5441,סוֹבֶך,1,a copse,
H5446,סְבַל,1,cbal (seb-al') v. 1. to erect [(Aramaic) corresponding to H5445] KJV: strongly laid.  Root(s): H5445,
H5451,סִבּוֹלֶת,1,an ear of grain,
H5452,סְבַר,1,"cbar (seb-ar') v. 1. to bear in mind, i.e. hope [(Aramaic) a primitive root] KJV: think.",
H5453,סִברַיִם,1,a place in Syria,
H5463,סְגַר,1,cgar (seg-ar') v. 1. shut up [(Aramaic) corresponding to H5462]  Root(s): H5462,
H5464,סַגרִידּ,1,a pouring rain,
H5468,סֶדֶר,1,order,
H5469,סַהַר,1,roundness,
H5471,סוֹא,1,an Egyptian king,
H5473,סוּג,1,i.e. bind,
H5474,סוּגַר,1,i.e. cage (for an animal),
H5476,סוֹדִי,1,an Israelite,
H5477,סוַּח,1,an Israelite,
H5478,סוּחָה,1,i.e. filth,
H5484,סוּסָה,1,a mare,
H5485,סוּסִי,1,an Israelite,
H5489,סוּף,1,H3220,
H5494,סוּר,1,i.e. deteriorated,
H5495,סוּר,1,a gate of the temple,
H5497,סוּת,1,i.e. clothing,
H5500,סָחָה,1,to sweep away,
H5501,סְחִי,1,refuse (as swept off),
H5506,סְחוֹרָה,1,merchandise,
H5507,סוֹחֵרָה,1,i.e. a shield,
H5508,סוֹחֶרֶת,1,probably a (black) tile (or tessara) for laying borders with,
H5510,סִיוָן,1,the third Heb. month,
H5515,סִינִים,1,a distant Oriental region,
H5519,סָך,1,i.e. a crowd,
H5522,סִכּוּת,1,an (idolatrous) booth,
H5524,סוּכּוֹת בְּנוֹת,1,i.e. idoalatrous tents for impure purpose,
H5525,סוּכִּי,1,or inhabitant of some place near Egypt (i.e. hut-dwellers),
H5527,סְכָכָה,1,a place in Israel,
H5529,סֶכֶל,1,dolts,
H5535,סָכַת,1,to be silent; (by implication) to observe quietly,
H5537,סָלָא,1,i.e. weigh,
H5538,סִלָּא,1,a place in Jerusalem,
H5539,סָלַד,1,i.e. exult,
H5546,סַלָּח,1,forgiving,
H5551,סוּלָּם,1,a stair-case,
H5552,סַלסִלָּה,1,a twig (as pendulous),
H5555,סֶלַע הַמַּחלְקוֹת,1,a place in Israel,
H5556,סָלעָם,1,i.e. consuming],
H5562,סַמגַּר נְבוֹ,1,a Babylonian general,
H5565,סְמַכיָהוּ,1,an Israelite,
H5567,סָמַן,1,to designate,
H5569,סָמָר,1,i.e. shaggy,
H5573,סֶנֶה,1,a crag in Israel,
H5577,סַנסִן,1,a twig (as tapering),
H5578,סַנסַנָּה,1,a place in Israel,
H5580,סָס,1,a moth (from the agility of the fly),
H5583,סְעַד,1,c`ad (seh-ad') v. 1. to aid [(Aramaic) corresponding to H5582] KJV: helping.  Root(s): H5582,
H5584,סָעָה,1,to rush,
H5586,סָעַף,1,to disbranch (a tree),
H5588,סֵעֵף,1,i.e. (concretely) a skeptic,
H5593,סַף,1,a Philistine,
H5598,סִפַּי,1,a Philistine,
H5600,סְפִינָה,1,a (sea-going) vessel (as ceiled with a deck),
H5604,סִפּוּן,1,a wainscot,
H5605,סָפַף,1,"but used only as denominative from H5592 (in the sense of a vestibule), to wait at the threshold",
H5610,סְפָר,1,a census,
H5611,סְפָר,1,a place in Arabia,
H5614,סְפָרָד,1,a region of Assyria,
H5615,סְפוֹרָה,1,a numeration,
H5616,סְפַרוִי,1,a Sepharvite or inhabitant of Sepharvain,
H5621,סָרָב,1,a thistle,
H5623,סַרגּוֹן,1,an Assyrian king,
H5625,סַרדִּי,1,a Seredite (collectively) or descendants of Sered,
H5626,סִרָה,1,a cistern so-called,
H5629,סֶרַח,1,a redundancy,
H5634,סַרעַפָּה,1,a twig,
H5635,סָרַף,1,i.e. to be (near) of kin (such being privileged to kindle the pyre),
H5636,סַרפָּד,1,a nettle (as stinging like a burn),
H5638,סְתָו,1,winter (as the dark season),
H5639,סְתוּר,1,an Israelite,
H5644,סִתרִי,1,an Israelite,
H5652,עֲבָד,1,a deed,
H5655,עַבדֶּאֵל,1,an Israelite,
H5661,עַבדִּיאֵל,1,an Israelite,
H5664,עֲבֵד נֶגוֹ,1,the Babylonian name of one of Daniel's companions,
H5671,עַבטִּיטּ,1,i.e. (collectively) pawned goods,
H5681,עִברִי,1,an Israelite,
H5683,עֶברוֹן,1,a place in Israel,
H5685,עָבַשׁ,1,to dry up,
H5686,עָבַת,1,i.e. (figuratively) to pervert,
H5691,עֲגָבָה,1,i.e. amorousness,
H5701,עָגַם,1,to be sad,
H5702,עָגַן,1,i.e. from marriage,
H5708,עֵד,1,H5749,
H5719,עָדִין,1,voluptuous,
H5721,עֲדִינָא,1,an Israelite,
H5722,עֲדִינוֹ,1,his spear,
H5723,עֲדִיתַּיִם,1,a place in Israel,
H5724,עַדלַי,1,an Israelite,
H5727,עָדַן,1,to live voluptuously,
H5735,עֲדעָדָה,1,a place in Israel,
H5738,עֶדֶר,1,an Israelite,
H5743,עוּב,1,i.e. to becloud,
H5745,עוֹבָל,1,a son of Joktan,
H5746,עוּג,1,to bake (round cakes on the hearth),
H5751,עוֹד,1,`owd (ode) adv. 1. while [(Aramaic) corresponding to H5750]  Root(s): H5750,
H5758,עִויָא,1,`ivya' (iv-yaw') n-f. 1. perverseness [(Aramaic) from a root corresponding to H5753] KJV: iniquity.  Root(s): H5753,
H5760,עֲוִיל,1,perverse (morally),
H5761,עַוִּים,1,a place in Israel (with the article prefix),
H5772,עוֹנָה,1,sexual (cohabitation),
H5773,עַועֶה,1,perversity,
H5783,עוּר,1,to (be) bare,
H5784,עוּר,1,`uwr (oor) n-m. 1. chaff [(Aramaic) chaff (as the naked husk)],
H5789,עוּשׁ,1,to hasten,
H5790,עוּת,1,i.e. succor,
H5792,עַוָּתָה,1,oppression,
H5796,עֵז,1,`ez (aze) n-f. 1. goat [(Aramaic) corresponding to H5795]  Root(s): H5795,
H5802,עַזבּוּק,1,an Israelite,
H5805,עֲזוּבָה,1,desertion (of inhabitants),
H5811,עָזָז,1,an Israelite,
H5814,עוּזִּיָא,1,an Israelite,
H5815,עֲזִיאֵל,1,an Israelite,
H5819,עֲזִיזָא,1,an Israelite,
H5821,עַזָּן,1,an Israelite,
H5823,עָזַק,1,to grub over,
H5827,עֶזֶר,1,the name of two Israelites,
H5834,עֶזרָה,1,an Israelite,
H5836,עֶזרִי,1,an Israelite,
H5839,עֲזַריָה,1,"`Azaryah (az-ar-yaw') n/p. 1. Azarjah, one of Daniel's companions [(Aramaic) corresponding to H5838] KJV: Azariah.  Root(s): H5838",
H5843,עֵטָא,1,`eta' (ay-taw') n-f. 1. prudence [(Aramaic) from H3272] KJV: counsel.  Root(s): H3272,
H5845,עֲטִין,1,(figuratively) breast),
H5846,עֲטִישָׁה,1,sneezing,
H5851,עֲטָרָה,1,an Israelitess,
H5854,עַטרוֹת בֵּיתּ יוֹאָב,1,a place in Israel,
H5855,עַטרוֹת שׁוֹפָן,1,a place in Israel,
H5865,עֵילוֹם,1,ever,
H5866,עִילַי,1,an Israelite,
H5868,עֲיָם,1,probably meaning strength,
H5875,עֵין הַקּוֹרֵא,1,a place near Israel,
H5876,עֵין חַדָּה,1,a place in Israel,
H5877,עֵין חָצוֹר,1,a place in Israel,
H5878,עֵין חֲרוֹד,1,a place in Israel,
H5879,עֵינַיִם עֵינָם,1,a place in Israel,
H5880,עֵין מִשׁפָּט,1,a place near Israel,
H5882,עֵין עֶגלַיִם,1,a place in Israel,
H5884,עֵין רִמּוֹן,1,a place in Israel,
H5886,עֵין תַּנִּים,1,a pool near Jerusalem,
H5887,עֵין תַּפּוַּח,1,a place in Israel,
H5888,עָיֵף,1,to languish,
H5893,עִיר,1,an Israelite,
H5898,עִיר הַמֶּלַח,1,a place near Israel,
H5900,עִירוּ,1,an Israelite,
H5901,עִירִי,1,an Israelite,
H5905,עִיר שֶׁמֶשׁ,1,a place in Israel,
H5910,עַכּוֹ,1,Akko (from its situation on a bay),
H5913,עָכַס,1,"properly, to tie, specifically, with fetters; but used only as denominative from H5914]",
H5917,עָכָר,1,an Israelite,
H5919,עַכשׁוּב,1,an asp (from lurking coiled up),
H5924,עֵלָּא,1,`ella' (ale-law') adv. 1. above [(Aramaic) from H5922] KJV: over.  Root(s): H5922,
H5925,עוּלָּא,1,an Israelite,
H5926,עִלֵּג,1,stuttering,
H5928,עֲלָה,1,`alah (al-law') n-f. 1. a holocaust [(Aramaic) corresponding to H5930] KJV: burnt offering.  Root(s): H5930,
H5932,עַלוָה,1,moral perverseness,
H5936,עֲלוּקָה,1,the leech,
H5938,עָלֵז,1,exultant,
H5940,עֱלִי,1,a pestle (as lifted),
H5948,עֲלִיל,1,probably a crucible (as working over the metal),
H5950,עֲלִילִיָה,1,(miraculous) execution,
H5951,עֲלִיצּוּת,1,exultation,
H5952,עַלִּיתּ,1,a second-story room,
H5960,עַלמוֹן,1,a place in Israel,
H5962,עַלמִי,1,`Almiy (al-mee') n/g. 1. an Elamite or inhabitant of Elam [(Aramaic) patrial from a name corresponding to H5867 contracted] KJV: Elamite.,
H5966,עָלַע,1,to sip up,
H5967,עֲלַע,1,`ala` ; (al-ah') n-f. 1. a rib [(Aramaic) corresponding to H6763] KJV: rib.  Root(s): H6763,
H5969,עוּלפֶּה,1,i.e. (figuratively) mourning,
H5976,עָמַד,1,to shake,
H5979,עֶמדָּה,1,i.e. domicile,
H5981,עוּמָּה,1,a place in Israel,
H5990,עַמִּיזָבָד,1,an Israelite,
H5991,עַמִּיחוּר,1,a Syrian prince,
H5994,עֲמִיק,1,"`amiyq (am-eek') adj. 1. profound, i.e. unsearchable, deep [(Aramaic) corresponding to H6012]  Root(s): H6012",
H6000,עָמָל,1,an Israelite,
H6007,עֲמַסיָה,1,an Israelite,
H6008,עַמעָד,1,a place in Israel,
H6011,עוֹמֶק,1,depth,
H6015,עֲמַר,1,`amar (am-ar') n-m. 1. wool [(Aramaic) corresponding to H6785] KJV: wool.  Root(s): H6785,
H6023,עֲמַשׁסַי,1,an Israelite,
H6033,עֲנָה,1,`anah (an-aw') adj. 1. poor [(Aramaic) corresponding to H6031]  Root(s): H6031,
H6036,עָנוּב,1,an Israelite,
H6039,עֱנוּת,1,affliction,
H6044,עָנִים,1,a place in Israel,
H6046,עָנֵם,1,a place in Israel,
H6048,עֲנַמֶּלֶך,1,an Assyrian deity,
H6050,עֲנַן,1,`anan (an-an') n-m. 1. cloud [(Aramaic) corresponding to H6051]  Root(s): H6051,
H6052,עָנָן,1,an Israelite,
H6053,עֲנָנָה,1,cloudiness,
H6058,עָנֵף,1,branching,
H6065,עֲנַשׁ,1,`anash (an-ash') v. 1. a mulct [(Aramaic) corresponding to H6066] KJV: confiscation.  Root(s): H6066,
H6070,עַנתּוֹתִיָה,1,an Israelite,
H6072,עָסַס,1,to squeeze out juice; (figuratively) to trample,
H6073,עֳפֶא,1,a bough (as covering the tree),
H6078,עָפנִי,1,an Ophnite (collectively) or inhabitants of Ophen,
H6080,עָפַר,1,to be dust,
H6088,עֲצַב,1,"`atsab , (ats-ab') v. 1. to afflict [(Aramaic) corresponding to H6087] KJV: lamentable.  Root(s): H6087",
H6092,עָצֵב,1,a (hired) workman,
H6095,עָצָה,1,i.e. to close (the eyes),
H6096,עָצֶה,1,the spine (as giving firmness to the body),
H6097,עֵצָה,1,timber,
H6101,עָצַל,1,i.e. to be indolent or slack,
H6104,עַצלוּת,1,indolence,
H6110,עַצּוּמָה,1,i.e. (figuratively) argument,
H6112,עֵצֶן,1,a spear,
H6114,עֶצֶר,1,restraint,
H6120,עָקֵב,1,a lier in wait,
H6122,עָקבָּה,1,trickery,
H6123,עָקַד,1,to tie with thongs,
H6125,עָקָה,1,constraint,
H6127,עָקַל,1,to wrest,
H6129,עֲקַלָּתוֹן,1,tortuous,
H6130,עָקָן,1,an Idummaean,
H6133,עֵקֶר,1,"a transplanted person, i.e. naturalized citizen]",
H6134,עֵקֶר,1,an Israelite,
H6146,עָר,1,`ar (awr) n-m. 1. enemy [(Aramaic) corresponding to H6145]  Root(s): H6145,
H6156,עָרֵב,1,pleasant,
H6167,עֲרָד,1,`arad (ar-awd') n-m. 1. an onager [(Aramaic) corresponding to H6171] KJV: wild ass.  Root(s): H6171,
H6169,עָרָה,1,a naked (i.e. level) plot,
H6171,עָרוֹד,1,an onager (from his lonesome habits),
H6173,עַרוָה,1,"`arvah (ar-vaw') n-f. 1. nakedness, i.e. (figuratively) impoverishment [(Aramaic) corresponding to H6172] KJV: dishonor.  Root(s): H6172",
H6178,עָרוּץ,1,i.e. (concretely) a horrible place or chasm,
H6180,עֵרִי,1,a Erite (collectively) or descendants of Eri,
H6183,עָרִיף,1,the sky (as dropping at the horizon),
H6192,עָרַם,1,to pile up,
H6193,עוֹרֶם,1,a stratagem,
H6197,עֵרָן,1,an Israelite,
H6198,עֵרָנִי,1,an Eranite or descendant (collectively) of Eran,
H6199,עַרעָר,1,i.e. (figuratively) poor,
H6200,עֲרוֹעֵרִי,1,an Aroerite or inhabitant of Aroer,
H6216,עָשׁוֹק,1,a tyrant),
H6219,עָשׁוֹת,1,i.e. polished,
